Num_sentences,sentence_number,sentence,answer,PureGrammarProfile,C【基本语义及用法】,【例句】,【结构特点】,prompt1,prompt2
2109,1,他低声念着课文。,T,持续态：动词+着：表示动作的持续,"“动词+着”还可以表示某种动作的持续。
","
1.外边下着雪呢。
2.他们说着、笑着，不一会儿就到学校了。
3.我正吃着饭呢。
","
1. 肯定形式：
   S+V+着(+O)
   例：我们在路上慢慢地走着。
       她一直等着你。

2. 否定形式：
   S+没+VP
   例：外面没下雨。

","请判断：在句子“他低声念着课文。”中，是否包含语法点[持续态：动词+着：表示动作的持续?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[持续态：动词+着：表示动作的持续]表示“动词+着”还可以表示某种动作的持续。
例句如下
1.外边下着雪呢。
2.他们说着、笑着，不一会儿就到学校了。
3.我正吃着饭呢。
请判断：在句子“他低声念着课文。”中，是否包含语法点[持续态：动词+着：表示动作的持续?
如果包含，请仅回答T
如果不包含，请仅回答F"
6062,10,他正好要去市区，于是便让我搭了个便车。,F,承接复句：………便………,"表示某个动作刚发生，另一个动作紧接着发生。
","
1.我一走出校门，抬头便看见了她。
2.她放下电话，衣服都没换便往医院赶。
3.一回到家，他便看到了桌子上的饭菜。
","
“……便……”所连接的前后两个分句中的主语可以相同，也可以不相同。
1. S + P1，便 + P2
   他 没吃几口饭，便 拿起书包出门了。
2. S1 + P1，S2 + 便 + P2
   领导 还没讲完，他 便 提前离开了。

","请判断：在句子“他正好要去市区，于是便让我搭了个便车。”中，是否包含语法点[承接复句：………便………?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[承接复句：………便………]表示表示某个动作刚发生，另一个动作紧接着发生。
例句如下
1.我一走出校门，抬头便看见了她。
2.她放下电话，衣服都没换便往医院赶。
3.一回到家，他便看到了桌子上的饭菜。
请判断：在句子“他正好要去市区，于是便让我搭了个便车。”中，是否包含语法点[承接复句：………便………?
如果包含，请仅回答T
如果不包含，请仅回答F"
5060,3,她发现自己的手机屏幕坏了，心情很糟糕。,F,程度补语2：动词/形容词+坏/透+了,"“坏/透+了”作程度补语,表示某种事物的性质或某种心理活动的程度达到极限。用于口语。
","
1.这么晚了孩子还没回家，张老师担心坏了。
2.见到偶像的时候，我简直激动坏了。
3.第一次被别人拒绝，我的心情糟透了。
","
“坏/透+了”用在心理动词或形容词后边作补语。
1. S + V心理/Adj + 坏/透 + 了
   - 张老师担心坏了。
   - 我最近忙坏了。
   - 我的心情糟透了。
2. S + V心理 + 透 + O + 了
   - 我恨透他了。

","请判断：在句子“她发现自己的手机屏幕坏了，心情很糟糕。”中，是否包含语法点[程度补语2：动词/形容词+坏/透+了?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[程度补语2：动词/形容词+坏/透+了]表示“坏/透+了”作程度补语,表示某种事物的性质或某种心理活动的程度达到极限。用于口语。
例句如下
1.这么晚了孩子还没回家，张老师担心坏了。
2.见到偶像的时候，我简直激动坏了。
3.第一次被别人拒绝，我的心情糟透了。
请判断：在句子“她发现自己的手机屏幕坏了，心情很糟糕。”中，是否包含语法点[程度补语2：动词/形容词+坏/透+了?
如果包含，请仅回答T
如果不包含，请仅回答F"
7142,9,哪有她这么不负责任的啊？还说是专业人士呢。,T,口语格式：哪有X这么Y的／有X这样的吗,"
反问句式，表示否定，强调没有这样做的，经常含有不满、指责的语气。一般用于口语。

","
1.哪有你这么过分的？好处全让你给占了。
2.哪有你这么直接的？给他留点儿面子呀。
3.有他这样做人的吗？总是在背后说人家坏话。
","
X 是人称代词或指人的名词性成分，Y 一般是形容词或动词性成分。“哪有 X 这么 Y 的 / 有 X 这样 Y 的吗” 前面或后面一般会说明说话人的看法或评价。

哪有 + Pron/NP + 这么 + Adj/VP + 的？/ 有 + Pron/NP + 这样 + Adj/VP + 的吗？……

哪有 你 这么 过分 的？好处全让你给占了。

有 你 这样 说话 的吗？没大没小。

……哪有 + Pron/NP + 这么 + Adj/VP + 的？/ 有 + Pron/NP + 这样 + Adj/VP + 的吗？

只管自己不管他人，哪有 他 这么 做事 的？

有事不承担，有功劳跑前头，有 她 这样 当领导 的吗？","请判断：在句子“哪有她这么不负责任的啊？还说是专业人士呢。”中，是否包含语法点[口语格式：哪有X这么Y的／有X这样的吗?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：哪有X这么Y的／有X这样的吗]表示
反问句式，表示否定，强调没有这样做的，经常含有不满、指责的语气。一般用于口语。

例句如下
1.哪有你这么过分的？好处全让你给占了。
2.哪有你这么直接的？给他留点儿面子呀。
3.有他这样做人的吗？总是在背后说人家坏话。
请判断：在句子“哪有她这么不负责任的啊？还说是专业人士呢。”中，是否包含语法点[口语格式：哪有X这么Y的／有X这样的吗?
如果包含，请仅回答T
如果不包含，请仅回答F"
4084,8,他们都同意这个计划。,F,用“一+量词(+名词)+也(都)/也没(不)……”表示强调,"“一+量词(+名词)+也(都)/也没(不)……”通过否定最小的量“一”表示对全体的否定，语气比较强。如“我一本中文书也没看过”的意思是“我从来没看过中文书”。
","
1.我一本中文书也没看过。
2.我在北京一个人都不认识。
3.那些苹果一个也不甜。
","
1. S + 一 + M(+ NP) + 也/都 + 没/不 + VP
   例：刚来北京的时候，他一个人都不认识。
       我一本中文书也没看过。

2. S + 一 + M(+ N) + 也/都 + V 不 C
   例：他一句中文也听不懂。
       我一步路都走不动了。

3. S + 一 + M + 也/都 + 不/没 + Adj
   例：这些衣服一件也不干净。
       山上的树叶一片都没红。","请判断：在句子“他们都同意这个计划。”中，是否包含语法点[用“一+量词(+名词)+也(都)/也没(不)……”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[用“一+量词(+名词)+也(都)/也没(不)……”表示强调]表示“一+量词(+名词)+也(都)/也没(不)……”通过否定最小的量“一”表示对全体的否定，语气比较强。如“我一本中文书也没看过”的意思是“我从来没看过中文书”。
例句如下
1.我一本中文书也没看过。
2.我在北京一个人都不认识。
3.那些苹果一个也不甜。
请判断：在句子“他们都同意这个计划。”中，是否包含语法点[用“一+量词(+名词)+也(都)/也没(不)……”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F"
4079,5,这位老师不喝水也能讲一整节课。,T,紧缩复句：不……也……,"表示无论假设的情况是否发生，结果或要达到的目的都不会改变。  
","
1.今天晚上我不睡觉也要把这篇作文写完。
2.他不吃饭也要帮我修电脑。
3.他不休息也要玩儿手机游戏。
","  
S + 不 + VP1 + 也 + VP2  
例：今天晚上 我 不 睡觉 也要把这篇作文写完。

","请判断：在句子“这位老师不喝水也能讲一整节课。”中，是否包含语法点[紧缩复句：不……也……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[紧缩复句：不……也……]表示表示无论假设的情况是否发生，结果或要达到的目的都不会改变。  
例句如下
1.今天晚上我不睡觉也要把这篇作文写完。
2.他不吃饭也要帮我修电脑。
3.他不休息也要玩儿手机游戏。
请判断：在句子“这位老师不喝水也能讲一整节课。”中，是否包含语法点[紧缩复句：不……也……?
如果包含，请仅回答T
如果不包含，请仅回答F"
1046,6,你喝茶还是喝可乐呢？,T,连词(连接词或短语)：还是,"表示选择关系,多用于疑问句。
","
1.她是老师还是学生？
2.你喝茶还是喝水？
3.我们上午去还是下午去？
","
“还是”前边和后边的词或短语须词类一致,可以是名词性成分,也可以是动词性成分。

S(+是)+A+还是+B?
她的生日是今天还是明天?
你坐火车还是坐飞机?

","请判断：在句子“你喝茶还是喝可乐呢？”中，是否包含语法点[连词(连接词或短语)：还是?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[连词(连接词或短语)：还是]表示表示选择关系,多用于疑问句。
例句如下
1.她是老师还是学生？
2.你喝茶还是喝水？
3.我们上午去还是下午去？
请判断：在句子“你喝茶还是喝可乐呢？”中，是否包含语法点[连词(连接词或短语)：还是?
如果包含，请仅回答T
如果不包含，请仅回答F"
4036,6,这是公司的机密文件，我们一字一句都不能泄露。,T,固定短语：一A—B,"表示数量非常少，如“一针一线、一草一木”。
    ","
1.这是别人的东西，我们一针一线都不能拿。
2.她一心一意地在家照顾孩子。
3.我们一来一回，至少要三个小时。
","
固定短语“一A—B”中的A、B可以是名词、动词、形容词或数词，“一A—B”可以作主语、宾语、定语、状语、谓语。例如：","请判断：在句子“这是公司的机密文件，我们一字一句都不能泄露。”中，是否包含语法点[固定短语：一A—B?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[固定短语：一A—B]表示表示数量非常少，如“一针一线、一草一木”。
    例句如下
1.这是别人的东西，我们一针一线都不能拿。
2.她一心一意地在家照顾孩子。
3.我们一来一回，至少要三个小时。
请判断：在句子“这是公司的机密文件，我们一字一句都不能泄露。”中，是否包含语法点[固定短语：一A—B?
如果包含，请仅回答T
如果不包含，请仅回答F"
7001,1,需求分析是项目管理的重要环节。,F,能愿动词：需,"
能愿动词，意思是“需要”。一般用于书面语或正式语体。
","
1.您父亲的身体需休养一段时间。
2.我们仍需耐心等待。
3.那个考核挺简单的，你不需投入太多的时间和精力。
","
1. 肯定形式：
   S + 需 + VP
   例：这种药品需存放在冰箱中。

2. 否定形式：
   S + 不 + 需 + VP
   例：你不需投入太多的时间和精力。

3. 正反疑问形式：
   S + 需 + 不 + 需 + VP？
   例：我这种情况需不需复查？
","请判断：在句子“需求分析是项目管理的重要环节。”中，是否包含语法点[能愿动词：需?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[能愿动词：需]表示
能愿动词，意思是“需要”。一般用于书面语或正式语体。
例句如下
1.您父亲的身体需休养一段时间。
2.我们仍需耐心等待。
3.那个考核挺简单的，你不需投入太多的时间和精力。
请判断：在句子“需求分析是项目管理的重要环节。”中，是否包含语法点[能愿动词：需?
如果包含，请仅回答T
如果不包含，请仅回答F"
2096,6,他是我们的队长，更是我们的榜样。,T,递进复句：用关联词语：………，更/还……,"递进复句中的后一分句可以用关联副词“更、还”表达进一层的意义。
","
1.昨天很冷，今天更冷了。
2.班长学习很好，还经常帮助同学。
3.他是我们的老师，更是我们的朋友。
","
两个分句可以是同一个主语，也可以是两个不同的主语。

1. S+P1，更/还+P2
   班长学习很认真，还经常帮助同学。

2. S1+P1，S2+更/还+P2
   昨天很冷，今天更冷了。

","请判断：在句子“他是我们的队长，更是我们的榜样。”中，是否包含语法点[递进复句：用关联词语：………，更/还……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[递进复句：用关联词语：………，更/还……]表示递进复句中的后一分句可以用关联副词“更、还”表达进一层的意义。
例句如下
1.昨天很冷，今天更冷了。
2.班长学习很好，还经常帮助同学。
3.他是我们的老师，更是我们的朋友。
请判断：在句子“他是我们的队长，更是我们的榜样。”中，是否包含语法点[递进复句：用关联词语：………，更/还……?
如果包含，请仅回答T
如果不包含，请仅回答F"
4075,4,这座山的轮廓在远处依然可见。,F,因果复句：………，可见………,"前一分句说明一件事情，用“可见”承接上文，并引出后面的判断或结论。
","
1.他的中文水平很高，可见他在留学期间学习是多么努力。
2.他在我困难的时候一直帮助我，可见他是我多么好的朋友。
3.他给你打了好多电话，可见他有多着急。
","
1. S + VP1，可见 + S + VP2
   他在我困难的时候一直帮助我，可见他是我多么好的朋友。
2. S1 + VP1，可见 + S2 + VP2
   校长都出席了会议，可见这次会议有多么重要。

","请判断：在句子“这座山的轮廓在远处依然可见。”中，是否包含语法点[因果复句：………，可见………?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[因果复句：………，可见………]表示前一分句说明一件事情，用“可见”承接上文，并引出后面的判断或结论。
例句如下
1.他的中文水平很高，可见他在留学期间学习是多么努力。
2.他在我困难的时候一直帮助我，可见他是我多么好的朋友。
3.他给你打了好多电话，可见他有多着急。
请判断：在句子“这座山的轮廓在远处依然可见。”中，是否包含语法点[因果复句：………，可见………?
如果包含，请仅回答T
如果不包含，请仅回答F"
4019,4,他还真会做饭，味道比餐厅的还好。,T,语气副词：还4,"表示情况让人感到意外、超出意料，含有赞叹的语气。
    ","
1.他还真有办法，问题马上就解决了。
2.没想到你还会画画儿!
3.你还上过大学呢，这个字都不认识。
","
(1) “还4”表示“超出意料”义时，常出现在动词性成分或形容词性成分前，作状语。
    S + 还4 + VP/AP
    他还真有办法。
    这本书还真不错。

(2) “还”表示“名不副实”义时，常以“还……呢”形式出现。
    (S+) 还4 + NP/VP + 呢
    你还大学生呢，这个字都不认识。
    他还说帮我呢，我现在根本找不到他。","请判断：在句子“他还真会做饭，味道比餐厅的还好。”中，是否包含语法点[语气副词：还4?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[语气副词：还4]表示表示情况让人感到意外、超出意料，含有赞叹的语气。
    例句如下
1.他还真有办法，问题马上就解决了。
2.没想到你还会画画儿!
3.你还上过大学呢，这个字都不认识。
请判断：在句子“他还真会做饭，味道比餐厅的还好。”中，是否包含语法点[语气副词：还4?
如果包含，请仅回答T
如果不包含，请仅回答F"
2052,10,这件事你对老板说了吗？,T,介词(引出对象)：对,"引出动作的对象,表示对待。
","
1.她对顾客非常热情。
2.这件事你对他说了吗？
3.我对你非常有信心。
","
“对”与表示动作对象的名词性成分组合，修饰动词性或形容词性成分。“对…………”
一般在主语后，也可用在主语前(有停顿)。

|结构|例句|
|---|---|
|1. S+对+N/Pron/NP+VP/AP|我对你非常有信心。<br>我对她不满意。|
|2. 对+N/Pron/NP, S+VP/AP|对这节课的知识，你还有什么问题？|","请判断：在句子“这件事你对老板说了吗？”中，是否包含语法点[介词(引出对象)：对?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[介词(引出对象)：对]表示引出动作的对象,表示对待。
例句如下
1.她对顾客非常热情。
2.这件事你对他说了吗？
3.我对你非常有信心。
请判断：在句子“这件事你对老板说了吗？”中，是否包含语法点[介词(引出对象)：对?
如果包含，请仅回答T
如果不包含，请仅回答F"
2088,3,跟着老师的讲解，学生们很快就理解了知识点。,F,比较句3：A跟/和B一样/相同,"用来表示在爱好、心理活动、能力等方面，A与B相同。
","
1.我的爱好跟姐姐一样。
2.他的想法跟我相同。
3.哥哥的手机和我的不一样。
","

1. 肯定形式：A+跟/和+B+一样/相同
   例如：我的爱好跟姐姐一样。他的想法和我相同。

2. 否定形式：A+跟/和+B+不一样/不同
   例如：我的爱好跟姐姐不一样。他的想法和我不同。

3. 正反疑问形式：A+跟/和+B+一样/相同+不一样/不相同？
   例如：他的想法和我一样不一样？他的想法跟我相同不相同？","请判断：在句子“跟着老师的讲解，学生们很快就理解了知识点。”中，是否包含语法点[比较句3：A跟/和B一样/相同?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[比较句3：A跟/和B一样/相同]表示用来表示在爱好、心理活动、能力等方面，A与B相同。
例句如下
1.我的爱好跟姐姐一样。
2.他的想法跟我相同。
3.哥哥的手机和我的不一样。
请判断：在句子“跟着老师的讲解，学生们很快就理解了知识点。”中，是否包含语法点[比较句3：A跟/和B一样/相同?
如果包含，请仅回答T
如果不包含，请仅回答F"
6080,6,早不迟到，晚不迟到，今天重要会议他却迟到了。,T,口语格式：早(也)不X，晚(也)不X,"表示某行为发生或某情况出现的时间不合时宜，常有不满、责备的感情色彩。用于口语。
","
1.早不来，晚不来，恰好要出门的时候他来了。
2.早也不走，晚也不走，需要他的时候他却走了。
3.这手表早不坏，晚不坏，偏要考试的时候坏了。
","
X 一般是形容词或动词性成分，“也”可以省略。“早(也)不 X，晚(也)不 X” 作为前半句，后半句是说话人不希望在那个时间发生的某种行为或出现的情况。
(S +) 早(也)不 Adj/VP，晚(也)不 Adj/VP，……
例句：
- 这手表早不坏，晚不坏，偏要考试的时候坏了。
- 早也不走，晚也不走，需要他的时候他却走了。
- 早不停水，晚不停水，我洗澡的时候居然停水了。","请判断：在句子“早不迟到，晚不迟到，今天重要会议他却迟到了。”中，是否包含语法点[口语格式：早(也)不X，晚(也)不X?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：早(也)不X，晚(也)不X]表示表示某行为发生或某情况出现的时间不合时宜，常有不满、责备的感情色彩。用于口语。
例句如下
1.早不来，晚不来，恰好要出门的时候他来了。
2.早也不走，晚也不走，需要他的时候他却走了。
3.这手表早不坏，晚不坏，偏要考试的时候坏了。
请判断：在句子“早不迟到，晚不迟到，今天重要会议他却迟到了。”中，是否包含语法点[口语格式：早(也)不X，晚(也)不X?
如果包含，请仅回答T
如果不包含，请仅回答F"
2003,8,必须完成的任务已经分配给了每个人。,F,能愿动词：该、应该,"表示某事的发生从情理上讲是理所当然的，或者估计某事必然如此。“应该”在口语和书面语中都可以使用，“该”常用于口语。
","
1.你该吃药了。
2.你们应该去检查一下儿身体。
3.你应该跟老师说一下儿。
","
能愿动词“该、应该”用在动词性成分的前边。

1. 肯定形式：
   S+该/应该+VP
   例：你该吃药了。
       你们应该去检查一下儿身体。

2. 否定形式：
   S+不+该/应该+VP
   例：你不(应)该只关心自己。

3. 正反疑问形式：
   a. S+该+不该+VP?
      例：我该不该帮他?
   b. S+应/应该+不应该+VP?
      例：我应/应该不应该帮他?

","请判断：在句子“必须完成的任务已经分配给了每个人。”中，是否包含语法点[能愿动词：该、应该?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[能愿动词：该、应该]表示表示某事的发生从情理上讲是理所当然的，或者估计某事必然如此。“应该”在口语和书面语中都可以使用，“该”常用于口语。
例句如下
1.你该吃药了。
2.你们应该去检查一下儿身体。
3.你应该跟老师说一下儿。
请判断：在句子“必须完成的任务已经分配给了每个人。”中，是否包含语法点[能愿动词：该、应该?
如果包含，请仅回答T
如果不包含，请仅回答F"
4085,4,邻居都听到了他们的争吵。,F,用“连……也/都……”表示强调,"“连……也/都……”表示强调，强调的都是出人意料的情况(即最可能的情况没有出现或最不可能的情况出现了)，说话人通过强调这一情况来说明另外的意思。例如：“我连最简单的汉字都写不出来”，意味着我更不可能写出比较复杂的汉字，说明我的汉字书写能力很差；“他连最复杂的汉字都会写”，意味着他当然能写出其他相对简单的汉字，说明他的汉字书写能力非常强。  
","
1.我连最简单的汉字都写不出来。
2.他连天安门也没去过。
3.这个箱子连小孩子都提得动。
","  
1. S(人)+连+NP(物)+也/都+VP  
   他连最复杂的汉字都会写。  
   他连天安门也没去过。  

2. S(物)+连+NP(人)+也/都+VP  
   这个箱子连小孩子都提得动。  
   这个地方连很多中国人都不知道。  

","请判断：在句子“邻居都听到了他们的争吵。”中，是否包含语法点[用“连……也/都……”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[用“连……也/都……”表示强调]表示“连……也/都……”表示强调，强调的都是出人意料的情况(即最可能的情况没有出现或最不可能的情况出现了)，说话人通过强调这一情况来说明另外的意思。例如：“我连最简单的汉字都写不出来”，意味着我更不可能写出比较复杂的汉字，说明我的汉字书写能力很差；“他连最复杂的汉字都会写”，意味着他当然能写出其他相对简单的汉字，说明他的汉字书写能力非常强。  
例句如下
1.我连最简单的汉字都写不出来。
2.他连天安门也没去过。
3.这个箱子连小孩子都提得动。
请判断：在句子“邻居都听到了他们的争吵。”中，是否包含语法点[用“连……也/都……”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F"
2112,8,这个计划多周密，几乎没有漏洞。,F,概数表示法1：数词+多+量词;数词+量词+多,"概数就是表示一个大概的数目。“多”用在数词后边,表示略多于前面数词表示的数目。
","
1.包里有三十多本书呢。
2.教室里有一百多个学生。
3.这个本子三块多。
","
具体来说，“多”有两个位置：在数词和量词中间或在量词后边。整个结构可以作定语、谓语。

【结构模式】
1. Num+多+M(+N)
   例如：包里有三十多本书呢。他三十多岁。
   说明：结构1中的数词有限制，只能是“十”的倍数。也就是说，只能是整十、整百、整千的数字。

2. Num+M+多(+N)
   例如：我买了两斤多水果。他的孩子五岁多。
   说明：结构2对数词没有限制。

","请判断：在句子“这个计划多周密，几乎没有漏洞。”中，是否包含语法点[概数表示法1：数词+多+量词;数词+量词+多?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[概数表示法1：数词+多+量词;数词+量词+多]表示概数就是表示一个大概的数目。“多”用在数词后边,表示略多于前面数词表示的数目。
例句如下
1.包里有三十多本书呢。
2.教室里有一百多个学生。
3.这个本子三块多。
请判断：在句子“这个计划多周密，几乎没有漏洞。”中，是否包含语法点[概数表示法1：数词+多+量词;数词+量词+多?
如果包含，请仅回答T
如果不包含，请仅回答F"
3093,4,帽子我也买，围巾我也买。,T,并列复句：(也)…………，也…………,"表示两种同时存在的状态或动作。
","
1.篮球他喜欢，排球他也喜欢。
2.面条儿我也爱吃，米饭我也爱吃。
3.衣服我也买，裤子我也买。
","
“(也)………,也…………”一般用于主语不同的多个分句中，谓语可以相同，也可以不同。

|结构|例句|
|---|---|
|1. S1+P, S2+也+P|篮球他喜欢，排球他也喜欢。<br>他喜欢排球，我也喜欢排球。|
|2. S1(+也)+P1, S2+也+P2|衣服也洗了，饭也做了。|","请判断：在句子“帽子我也买，围巾我也买。”中，是否包含语法点[并列复句：(也)…………，也…………?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[并列复句：(也)…………，也…………]表示表示两种同时存在的状态或动作。
例句如下
1.篮球他喜欢，排球他也喜欢。
2.面条儿我也爱吃，米饭我也爱吃。
3.衣服我也买，裤子我也买。
请判断：在句子“帽子我也买，围巾我也买。”中，是否包含语法点[并列复句：(也)…………，也…………?
如果包含，请仅回答T
如果不包含，请仅回答F"
7146,2,要时间没时间，要精力没精力，我怎么能完成这么多任务？,T,口语格式：要X有/没X，要Y有/没Y,"
强调各方面的条件都具备或都不具备。用于口语。
","
1.她要成绩有成绩，要形象有形象。
2.这附近要商店没商店，要医院没医院，生活很不方便。
3.他要房子有房子，要车子有车子，这条件还算一般啊？
","
X、Y 一般是名词性成分，“要 X 有/没 X，要 Y 有/没 Y”一般作谓语。
(S+) 要 NP 有/没 NP，要 NP 有/没 NP
例句：
1. 她要成绩有成绩，要形象有形象。
2. 要资源没资源，要人才没人才，我们这里怎么才能发展经济呢？","请判断：在句子“要时间没时间，要精力没精力，我怎么能完成这么多任务？”中，是否包含语法点[口语格式：要X有/没X，要Y有/没Y?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：要X有/没X，要Y有/没Y]表示
强调各方面的条件都具备或都不具备。用于口语。
例句如下
1.她要成绩有成绩，要形象有形象。
2.这附近要商店没商店，要医院没医院，生活很不方便。
3.他要房子有房子，要车子有车子，这条件还算一般啊？
请判断：在句子“要时间没时间，要精力没精力，我怎么能完成这么多任务？”中，是否包含语法点[口语格式：要X有/没X，要Y有/没Y?
如果包含，请仅回答T
如果不包含，请仅回答F"
3018,2,本来这本书是放在书架上的，现在不知道被谁拿走了。,T,时间副词：本来,"原先，先前。
","
1.会议本来在星期一举行，但是现在改时间了。
2.我本来打算当老师，但是现在改主意了。
3.本来我们计划去爬山，但是突然下雨了，只能取消了。
","
“本来”主要作状语，可用在主语后边，也可以用在主语前边。

1. S+本来+P
   例句：会议本来在星期一举行，但是现在改时间了。
   例句：他本来身体很差，现在很结实。

2. 本来+S+P
   例句：本来他想买电脑，但是钱不够。","请判断：在句子“本来这本书是放在书架上的，现在不知道被谁拿走了。”中，是否包含语法点[时间副词：本来?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[时间副词：本来]表示原先，先前。
例句如下
1.会议本来在星期一举行，但是现在改时间了。
2.我本来打算当老师，但是现在改主意了。
3.本来我们计划去爬山，但是突然下雨了，只能取消了。
请判断：在句子“本来这本书是放在书架上的，现在不知道被谁拿走了。”中，是否包含语法点[时间副词：本来?
如果包含，请仅回答T
如果不包含，请仅回答F"
1040,8,他的努力没有被埋没，最终得到了上级的赏识。,F,否定副词：没、没有,"用于否定动作已经发生或状态已经改变。
","
1.他昨天没/没有上课。
2.他去了,我没/没有去。
3.衣服没/没有干。
","
“没、没有”在动词性成分前,表示对已经发生或曾经发生的动作行为的否定;在形容词性成分前,表示对已经发生或曾经发生的状况的否定。

S+没/没有+VP/Adj
我昨天没/没有去学校。
衣服没/没有干。

","请判断：在句子“他的努力没有被埋没，最终得到了上级的赏识。”中，是否包含语法点[否定副词：没、没有?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[否定副词：没、没有]表示用于否定动作已经发生或状态已经改变。
例句如下
1.他昨天没/没有上课。
2.他去了,我没/没有去。
3.衣服没/没有干。
请判断：在句子“他的努力没有被埋没，最终得到了上级的赏识。”中，是否包含语法点[否定副词：没、没有?
如果包含，请仅回答T
如果不包含，请仅回答F"
7144,6,"你想到哪儿去了,小李肯定不会做出那种事的。",T,口语格式：说到/想到哪儿去了,"
表示对上文内容的委婉否定。一般用于口语。
","
1.你看你，说到哪儿去了，我说的是买蛋糕的问题。
2.你想到哪儿去了!我肯定不会跟别人说的。
3.说到哪儿去了,那时候你也有你的难处嘛。
","
“说到/想到哪儿去了”作谓语,一般用于前半句,后半句提出说话人的观点。
S₁ + 说到/想到哪儿去了, S₂ + VP
你说到哪儿去了,咱们谁还不了解谁呢?
她想到哪儿去了,我只是去那儿借本书。

","请判断：在句子“你想到哪儿去了,小李肯定不会做出那种事的。”中，是否包含语法点[口语格式：说到/想到哪儿去了?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：说到/想到哪儿去了]表示
表示对上文内容的委婉否定。一般用于口语。
例句如下
1.你看你，说到哪儿去了，我说的是买蛋糕的问题。
2.你想到哪儿去了!我肯定不会跟别人说的。
3.说到哪儿去了,那时候你也有你的难处嘛。
请判断：在句子“你想到哪儿去了,小李肯定不会做出那种事的。”中，是否包含语法点[口语格式：说到/想到哪儿去了?
如果包含，请仅回答T
如果不包含，请仅回答F"
4094,7,让你试你就试，别害怕。,T,口语格式：让/叫你X你就X,"表示强调要求别人做事情，有命令的语气。用于口语。  
","
1.让你做你就做，别多问了。
2.叫你吃你就吃，其他的你别管。
3.让你安静你就安静，别老说话。
","  
在“让/叫你X你就X”格式中，X是动词，一般只出现在第一个分句中。  
让/叫你+V+你就+V，…………  
让你 做 你就 做，别多问了。  
叫你 吃 你就 吃，其他的你别管。

","请判断：在句子“让你试你就试，别害怕。”中，是否包含语法点[口语格式：让/叫你X你就X?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：让/叫你X你就X]表示表示强调要求别人做事情，有命令的语气。用于口语。  
例句如下
1.让你做你就做，别多问了。
2.叫你吃你就吃，其他的你别管。
3.让你安静你就安静，别老说话。
请判断：在句子“让你试你就试，别害怕。”中，是否包含语法点[口语格式：让/叫你X你就X?
如果包含，请仅回答T
如果不包含，请仅回答F"
5091,7,这旧手机放着也是放着，不如送给需要的人吧。,T,口语格式：X着也是X着,"表示某人或某物目前处于闲置状态，用于口语。  
","
1.明天我去超市逛逛，反正闲着也是闲着。
2.那些衣服她不喜欢了，放着也是放着，不如送人吧。
3.反正等着也是等着，我们不如休息休息吧。
","  
X 一般是单音节的动词或形容词。“X 着也是 X 着”构成的句子一般不能独立成句，前面或后面要出现别的句子，表示提出建议或看法。  
1. S + V/Adj 着 也是 V/Adj 着，……  
   例：那些衣服放着也是放着，不如送人吧。  
       这房子空着也是空着，不如出租吧。  

2. ……,(S+) V/Adj 着 也是 V/Adj 着  
   例：我想出去找个工作，在家闲着也是闲着。  
       明天我去超市逛逛，反正闲着也是闲着。  

","请判断：在句子“这旧手机放着也是放着，不如送给需要的人吧。”中，是否包含语法点[口语格式：X着也是X着?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：X着也是X着]表示表示某人或某物目前处于闲置状态，用于口语。  
例句如下
1.明天我去超市逛逛，反正闲着也是闲着。
2.那些衣服她不喜欢了，放着也是放着，不如送人吧。
3.反正等着也是等着，我们不如休息休息吧。
请判断：在句子“这旧手机放着也是放着，不如送给需要的人吧。”中，是否包含语法点[口语格式：X着也是X着?
如果包含，请仅回答T
如果不包含，请仅回答F"
